"Airline","Origin_Airport","Stopover_Airport","Destination_Airport","Origin_Departure_Delay","Stopover_Arrival_Delay","Stopover_Departure_Delay","Destination_Arrival_Delay"
"DL","SFO","ATL","JFK","0","-12","35","26"
"AA","SFO","PHX","JFK","-5","8","33","78"
"B6","SFO","FLL","JFK","13","10","67","67"
"VX","SFO","LAX","JFK","0","2","62","40"
"DL","SFO","ATL","JFK","-1","-18","0","0"
"VX","SFO","LAX","JFK","-6","-11","66","52"
"AA","SFO","LAX","JFK","-14","-7","-2","-40"
"AA","SFO","LAX","JFK","-14","-7","15","6"
"VX","SFO","LAX","JFK","85","85","20","-12"
"VX","SFO","LAX","JFK","25","35","20","-12"
"AA","SFO","LAX","JFK","-6","19","33","3"
"AA","SFO","LAX","JFK","-6","19","-2","-40"
"AA","SFO","LAX","JFK","-8","19","33","3"
"VX","SFO","LAX","JFK","-4","5","20","-12"
"B6","SFO","FLL","JFK","8","10","0","2"
"DL","SFO","ATL","JFK","-9","6","-2","-19"
"AA","SFO","PHX","JFK","-5","-24","-1","-34"
"DL","SFO","ATL","JFK","2","-8","1","-13"
"AA","SFO","MIA","JFK","2","-11","-1","-20"
"VX","SFO","LAX","JFK","5","0","23","-1"
"AA","SFO","LAX","JFK","1","-10","-7","-34"
"DL","SFO","ATL","JFK","0","-10","-2","14"
"VX","SFO","LAX","JFK","6","5","23","-1"
"DL","SFO","ATL","JFK","2","-11","-2","14"
"AA","SFO","PHX","JFK","-1","1","-4","-43"
"AA","SFO","LAX","JFK","-7","-18","-4","-31"
"AA","SFO","LAX","JFK","-7","-18","19","-3"
"B6","SFO","FLL","JFK","-2","-13","48","33"
"B6","SFO","FLL","JFK","-2","-13","87","73"
"VX","SFO","LAX","JFK","-1","-11","-4","-33"
"DL","SFO","ATL","JFK","-2","-21","-3","-24"
"AA","SFO","PHX","JFK","-5","-14","-1","-34"
"VX","SFO","LAX","JFK","-6","-11","8","-3"
"AA","SFO","LAX","JFK","-3","-22","-6","-26"
"AA","SFO","LAX","JFK","-8","-17","-5","-43"
"AA","SFO","LAX","JFK","-8","-17","-4","-8"
"VX","SFO","LAX","JFK","23","16","0","-15"
"VX","SFO","LAX","JFK","-5","-1","0","-15"
"AA","SFO","LAX","JFK","-3","-14","-5","-18"
"AA","SFO","LAX","JFK","-3","-14","-5","-43"
"AA","SFO","LAX","JFK","-6","-18","-5","-18"
"B6","SFO","FLL","JFK","-1","-8","29","28"
"DL","SFO","ATL","JFK","-3","-9","-2","-16"
"DL","SFO","ATL","JFK","-1","-18","-1","-29"
"AA","SFO","MIA","JFK","2","-13","-5","-7"
"VX","SFO","LAX","JFK","1","2","-1","-23"
"DL","SFO","ATL","JFK","2","-8","0","-21"
"VX","SFO","LAX","JFK","4","8","-1","-23"
"DL","SFO","ATL","JFK","-1","-23","0","-21"
"AA","SFO","PHX","JFK","0","-17","-3","-30"
"AA","SFO","LAX","JFK","0","2","8","19"
"AA","SFO","LAX","JFK","0","2","-4","-19"
"B6","SFO","FLL","JFK","121","109","39","35"
"VX","SFO","LAX","JFK","-4","-10","2","-24"
"DL","SFO","ATL","JFK","0","-19","-1","-30"
"AA","SFO","PHX","JFK","0","-16","-8","-33"
"VX","SFO","LAX","JFK","-3","-7","16","3"
"AA","SFO","PHX","JFK","-7","-14","0","-15"
"AA","SFO","LAX","JFK","-3","-6","3","-27"
"AA","SFO","LAX","JFK","-3","-6","-6","-14"
"VX","SFO","LAX","JFK","-4","14","2","-12"
"AA","SFO","LAX","JFK","-3","-9","-3","-12"
"AA","SFO","LAX","JFK","-3","-9","3","-27"
"AA","SFO","LAX","JFK","-4","-14","-3","-12"
"VX","SFO","LAX","JFK","-5","-4","2","-12"
"B6","SFO","FLL","JFK","0","7","-3","4"
"DL","SFO","ATL","JFK","74","57","4","-10"
"AA","SFO","MIA","JFK","3","-14","-1","-18"
"AA","SFO","PHX","JFK","-3","-17","-4","2"
"DL","SFO","ATL","JFK","2","-15","-2","-9"
"AA","SFO","MIA","JFK","17","-7","46","52"
